Bradymonadales_bin_CSSed10_215	Bradymonadales_bin_T3Sed10_190	Bradymonadales_FA350	Bradymonadales_TMQ2	Bradymonadales_B210	Bradymonadales_SEH01	Bradymonadales_TMQ4	Bradymonadales_TMQ3	Bradymonadales_TMQ1	Bradymonadales_YN101	Bradymonadales_V1718	Bradymonadales_bin_CSSed11_191	Bradymonadales_bin_T3Sed10_204	Vampirovibrio_chlorellavorus	Micavibrio_aeruginosavorus_EPB	Micavibrio_aeruginosavorus_ARL	Halobacteriovorax_sp_BSW11	Halobacteriovorax_marinus	Bdellovibrio_exovorus	Bdellovibrio_bacteriovorus_HD100	Bdellovibrio_bacteriovorus_109J	Stigmatella_aurantiaca	Myxococcus_xanthus	Corallococcus_coralloides	Flavobacterium_johnsoniae	Ensifer_adhaerens	Bacillus_subtilis	Cupriavidus_necator	Stenotrophomonas_maltophilia	Lysobacter_enzymogenes	Lysobacter_antibioticus	Herpetosiphon_aurantiacu	Fibrisoma_limi	Fibrella_aestuarina	Micrococcus_luteus	Cytophaga_hutchinsonii	Saprospira_grandis
K16554;polysaccharide biosynthesis transport protein;exoP, vpsO	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K02315;DNA replication protein DnaC;dnaC	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	3	0	0	0	0	0
K01849;methylmalonyl-CoA mutase, C-terminal domain ;E5.4.99.2B, mcmA2	2	2	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K01848;methylmalonyl-CoA mutase, N-terminal domain ;E5.4.99.2A, mcmA1	2	2	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
K00965;UDPglucose--hexose-1-phosphate uridylyltransferase ;galT, GALT	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
K01839;phosphopentomutase ;deoB	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
K00803;alkyldihydroxyacetonephosphate synthase ;AGPS, agpS	1	1	2	1	1	1	1	1	1	2	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
K03831;molybdopterin adenylyltransferase ;mogA	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0
K01147;exoribonuclease II ;rnb	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
K15635;2,3-bisphosphoglycerate-independent phosphoglycerate mutase ;apgM	1	1	1	1	1	1	1	1	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01604;methylmalonyl-CoA decarboxylase subunit alpha ;mmdA	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10800;single-strand selective monofunctional uracil DNA glycosylase ;SMUG1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08974;putative membrane protein;K08974	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K07787;Cu(I)/Ag(I) efflux system membrane protein CusA/SilA;cusA, silA	1	1	1	1	1	1	1	1	1	2	1	1	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0
K12942;aminobenzoyl-glutamate transport protein;abgT	3	1	1	1	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K07588;LAO/AO transport system kinase ;argK	2	2	1	1	1	1	1	1	1	1	1	1	2	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	1
K12339;S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) ;cysM	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	1
K03582;exodeoxyribonuclease V beta subunit ;recB	0	1	2	1	1	1	1	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
K03583;exodeoxyribonuclease V gamma subunit ;recC	0	1	2	1	1	1	1	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
K12526;bifunctional diaminopimelate decarboxylase / aspartate kinase ;lysAC	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
K09065;N-acetylornithine carbamoyltransferase ;argF	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0
K22478;bifunctional N-acetylglutamate synthase/kinase ;K22478	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
K01525;bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ;apaH	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0
K02502;ATP phosphoribosyltransferase regulatory subunit;hisZ	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
K00547;homocysteine S-methyltransferase ;mmuM, BHMT2	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
K00096;glycerol-1-phosphate dehydrogenase ;araM, egsA	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K11708;manganese/zinc/iron transport system permease protein;troC, mntC, znuB	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
K11709;manganese/zinc/iron transport system permease protein;troD, mntD, znuB	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
K13770;TetR/AcrR family transcriptional regulator, fatty acid metabolism regulator protein;ysiA, fadR	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
K02068;putative ABC transport system ATP-binding protein;ABC.X2.A	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K02069;putative ABC transport system permease protein;ABC.X2.P	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K09931;uncharacterized protein;K09931	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
K07755;arsenite methyltransferase ;AS3MT	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0
K07393;glutathionyl-hydroquinone reductase ;ECM4, yqjG	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
K13830;pentafunctional AROM polypeptide ;ARO1	0	0	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10843;DNA excision repair protein ERCC-3 ;ERCC3, XPB	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10742;DNA replication ATP-dependent helicase Dna2 ;DNA2	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03727;ATP-dependent RNA helicase HelY ;helY	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
K00002;alcohol dehydrogenase (NADP+) ;AKR1A1, adh	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11259;acetolactate synthase-like protein ;ILVBL	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02478;two-component system, LytTR family, sensor kinase ;K02478	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K13020;UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase ;wlbA, bplA	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03573;DNA mismatch repair protein MutH;mutH	0	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08764;sterol carrier protein 2 ;SCP2, SCPX	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
K05396;D-cysteine desulfhydrase ;dcyD	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
K07232;glutathione-specific gamma-glutamylcyclotransferase ;CHAC, chaC	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
